State ,Hydroelectric,Wind,Solar Photovoltaic,Solar Thermal,Biomass ,Geothermal
Connecticut,186,0,80,0,286,0
Maine,"1,366",586,7,0,"1,018",0
Massachusetts,415,83,463,0,387,0
New Hampshire,607,178,12,0,515,0
Rhode Island,NM ,NM ,10,0,68,0
Vermont,522,111,44,0,157,0
New Jersey,NM ,9,648,0,327,0
New York,"9,803","1,558",240,0,792,0
Pennsylvania,"1,242","1,423",100,0,816,0
Illinois,52,"4,535",28,0,178,0
Indiana,134,"2,189",91,0,126,0
Michigan,570,"1,737",16,0,796,0
Ohio,197,541,53,0,250,0
Wisconsin,861,580,10,0,543,0
Iowa,302,"7,824",13,0,82,0
Kansas,NM ,"5,087",3,0,25,0
Minnesota,202,"4,003",12,0,543,0
Missouri,619,467,58,0,39,0
Nebraska,421,"1,306",1,0,32,0
North Dakota,618,"2,633",0,0,9,0
South Dakota,"1,366","1,080",0,0,0,0
Delaware,0,NM ,43,0,24,0
District of Columbia,0,0,10,0,0,0
Florida,89,0,116,25,"1,430",0
Georgia,"1,507",0,212,0,"1,383",0
Maryland,805,213,178,0,167,0
North Carolina,"2,494",0,"1,089",0,714,0
South Carolina,"1,350",0,7,0,751,0
Virginia,614,0,13,0,"1,348",0
West Virginia,523,585,2,0,NM ,0
Alabama,"4,935",0,1,0,"1,069",0
Kentucky,"1,332",0,4,0,165,0
Mississippi,0,0,1,0,500,0
Tennessee,"3,630",19,49,0,330,0
Arkansas,"1,675",0,10,0,495,0
Louisiana,435,0,59,0,873,0
Oklahoma,938,"6,422",3,0,105,0
Texas,473,"20,008",289,0,534,0
Arizona,"2,493",183,"1,379",180,67,0
Colorado,683,"3,559",268,0,47,0
Idaho,"3,236","1,004",2,0,202,32
Montana,"3,002",839,3,0,NM ,0
Nevada,595,101,708,46,8,"1,208"
New Mexico,51,"1,297",276,0,4,NM 
Utah,239,201,145,0,23,184
Wyoming,186,"1,789",1,0,0,0
California,"8,150","3,967","6,337",607,"2,040","3,933"
Oregon,"14,553","2,093",43,0,304,74
Washington,"28,458","2,588",21,0,621,0
Alaska,532,62,0,0,21,0
Hawaii,NM ,166,254,0,115,76